id,number,number_in_juz,juz
QH01,1,1,QJ01
QH02,2,2,QJ01
QH03,3,1,QJ02
QH04,4,2,QJ02
QH05,5,1,QJ03
QH06,6,2,QJ03
QH07,7,1,QJ04
QH08,8,2,QJ04
QH09,9,1,QJ05
QH10,10,2,QJ05
QH11,11,1,QJ06
QH12,12,2,QJ06
QH13,13,1,QJ07
QH14,14,2,QJ07
QH15,15,1,QJ08
QH16,16,2,QJ08
QH17,17,1,QJ09
QH18,18,2,QJ09
QH19,19,1,QJ10
QH20,20,2,QJ10
QH21,21,1,QJ11
QH22,22,2,QJ11
QH23,23,1,QJ12
QH24,24,2,QJ12
QH25,25,1,QJ13
QH26,26,2,QJ13
QH27,27,1,QJ14
QH28,28,2,QJ14
QH29,29,1,QJ15
QH30,30,2,QJ15
QH31,31,1,QJ16
QH32,32,2,QJ16
QH33,33,1,QJ17
QH34,34,2,QJ17
QH35,35,1,QJ18
QH36,36,2,QJ18
QH37,37,1,QJ19
QH38,38,2,QJ19
QH39,39,1,QJ20
QH40,40,2,QJ20
QH41,41,1,QJ21
QH42,42,2,QJ21
QH43,43,1,QJ22
QH44,44,2,QJ22
QH45,45,1,QJ23
QH46,46,2,QJ23
QH47,47,1,QJ24
QH48,48,2,QJ24
QH49,49,1,QJ25
QH50,50,2,QJ25
QH51,51,1,QJ26
QH52,52,2,QJ26
QH53,53,1,QJ27
QH54,54,2,QJ27
QH55,55,1,QJ28
QH56,56,2,QJ28
QH57,57,1,QJ29
QH58,58,2,QJ29
QH59,59,1,QJ30
QH60,60,2,QJ30
